reviewerID,helpful_rate,helpful_pos
ADVCAG0UVMULW,0.5660377358490566,3
A2HNYEBVDM2AW9,0.8264462809917356,1
A1QVOOLISBEC9X,0.847457627118644,1
A2ES8V1JKEY1OU,0.8928571428571428,1
A244HA3YYYHJ7S,0.9523809523809524,2
A1J4LIUQJD82CF,1.0638297872340425,2
A3SD3W7SO12BE0,1.0810810810810811,2
A1XHJCJM12RKGP,1.1363636363636365,1
A1JONCODMQGO7H,1.2048192771084338,1
AHGO2AU4AFXSY,1.282051282051282,2
A218HL00E90AOO,1.3986013986013985,2
A1CHVCMUGFNZZI,1.4084507042253522,1
A2QOVRUSZ2RFE,1.4084507042253522,1
A2VQNQ2RVW2ETD,1.4492753623188406,1
A3SX6MVHXL3ZVK,1.4705882352941175,1
A3J1UD9K9G21R2,1.5151515151515151,1
A65FWLF4D4GVC,1.5625,1
A5ZPHCBNOTITA,1.5625,1
AAW0IOL60RA1Q,1.5873015873015872,1
A1K0R0UJAQSFTU,1.5873015873015872,1
AXOGU6QWX12HZ,1.6260162601626018,2
A3ENBAW2RO91WD,1.6666666666666667,1
A3GJ3VLZPKFAEF,1.694915254237288,1
AEUGHVPBD6I0K,1.694915254237288,2
AF127PN3P47PR,1.7094017094017095,2
A1ADS55UKB2TAU,1.7241379310344827,1
A1TUDEC66M9FO3,1.7543859649122806,1
A1H65I5N2YLVOU,1.7857142857142856,1
A1UIOYWTKJFUJV,1.8518518518518516,1
A1U31JH5F9I72M,1.8867924528301887,1
A3OUKR4TSHSXSP,1.8867924528301887,1
A1JNEMIX86DIJU,1.8867924528301887,1
A17HUSG9Y6Y1FZ,1.910828025477707,3
A1CG36FU5YY37G,1.9230769230769231,1
A1O6DXARBMNFL7,1.9607843137254901,1
A3E1CHD2AY9XO9,1.9607843137254901,1
A32W29OUW8N4TW,2.0408163265306123,1
A3QY9JS7YXSXT1,2.0408163265306123,1
A3DI6AVV4HKC12,2.0408163265306123,1
A1FIOWL9A5JVPY,2.083333333333333,1
A38ZGL91V3BHPR,2.083333333333333,1
A32M3ITQCQ36KR,2.083333333333333,1
A2WLJN2FKZT121,2.083333333333333,1
A2PNCY36P5VQKB,2.1052631578947367,2
A15WVVGMJRX8XO,2.127659574468085,1
A6MC13L0TSCC9,2.1505376344086025,2
AMQ9K8YB6DBU9,2.1621621621621623,4
A2AOUMKSEO3BVO,2.1739130434782608,1
A3A5FES9IM0AOI,2.1739130434782608,1
A2AK7RLZEKXOID,2.1739130434782608,1
A1V71CG7788GKY,2.209944751381215,4
A3BN6BFV4ORF41,2.2222222222222223,1
A1MM9CFWAYLC7B,2.272727272727273,1
A2TBMBDLHA8Q0L,2.272727272727273,1
A3PJF3FCA6P9L8,2.272727272727273,1
A2BXBOOYYB8YYB,2.272727272727273,1
A137S47O4VFEN7,2.272727272727273,1
A1DONKMVS6JDUW,2.3255813953488373,1
AIIUOIICYNHTH,2.3255813953488373,1
A11VBJ5X1FNZ3X,2.3255813953488373,1
A3L2GRITN84PA0,2.3255813953488373,1
AQWRUOV09SON4,2.3255813953488373,1
A15PSY149ML0B0,2.3391812865497075,4
A1KLNYFROE90OV,2.3529411764705883,2
A3DW4OBB8CXB5,2.380952380952381,1
A11YN63PBZSXSE,2.380952380952381,1
A2J5AUK61LOI9N,2.380952380952381,1
A1ZJY5MHWLLOGS,2.4096385542168677,2
A108U4RER3QN15,2.4390243902439024,1
A12C69A3M33GUN,2.4390243902439024,1
A3O3XWYOWRR1L,2.4390243902439024,1
A1JGLF81NN5U2H,2.5,1
A3OGOEVY5XC05I,2.5,2
A4ZZZPRTEK5EW,2.5388291517323776,3
A3O2BDXR011HRB,2.564102564102564,1
A5OHIWDANRN56,2.564102564102564,1
A73XCH294HVML,2.564102564102564,1
A1DA4BMB68J9Q1,2.564102564102564,1
A3285MYLTSY6WU,2.564102564102564,1
A3GV27E407DT56,2.564102564102564,2
A2H33W7AHMDB26,2.564102564102564,2
AM4DM8QOH5NYL,2.5806451612903225,4
A14MI0YXSB2IZO,2.631578947368421,1
A1UR6WS2TGWTHI,2.631578947368421,1
A1WO8789T6E92F,2.631578947368421,1
A1G892XBOUQ6PW,2.7027027027027026,1
A2NX7LU4F4ZSPS,2.7027027027027026,1
A19FQB3K2TM2S1,2.7027027027027026,1
A2KH5S6X8HU464,2.7027027027027026,1
A1AUKB93S7D56D,2.7027027027027026,1
A1CWHTTQX9V31A,2.73972602739726,2
A1GSGO5KLT93GU,2.7777777777777777,1
A3RUI9XBNM5ZDO,2.7777777777777777,1
A2SQM85AKFKQWY,2.7777777777777777,1
A3M2WDWKTERAN4,2.7777777777777777,2
A1HGY9G6FLOXYZ,2.7777777777777777,3
A3902J0VPE6RFW,2.8169014084507045,2
A111312GSRTE60,2.857142857142857,1
A2HC1LGLXV4IXV,2.857142857142857,1
A3NG64XDAGAP5N,2.857142857142857,1
