reviewerID,helpful_rate_mean,helpful_pos_sum
ADVCAG0UVMULW,0.2830188679245283,3
A2WLJN2FKZT121,0.41666666666666663,1
A38SQGJFJ0146P,0.4444444444444444,1
A218HL00E90AOO,0.4662004662004662,2
A3FIC8YR63C2RI,0.6211180124223602,1
A3ROSJA8681ZKU,0.625,1
A10PCGHSU8YJ0Q,0.641025641025641,1
AS986CAVSOA4W,0.6410256410256411,1
A39ZTG93GGO8GT,0.6493506493506495,1
A2IEEKJ38YH1O0,0.6666666666666667,1
A32W29OUW8N4TW,0.6802721088435374,1
A3DI6AVV4HKC12,0.6802721088435374,1
A2A0PEIYG3WXXN,0.7215007215007214,10
A2AK7RLZEKXOID,0.7246376811594203,1
A2I68CD3VP1VW7,0.7407407407407408,1
AFNBG3OJ3UJZR,0.78125,1
APOK22NBGHY9V,0.78125,1
A65FWLF4D4GVC,0.78125,1
A268G4ZQN8TMT2,0.78125,1
A2HNYEBVDM2AW9,0.8264462809917356,1
A3OGOEVY5XC05I,0.8333333333333334,2
A1QVOOLISBEC9X,0.847457627118644,1
A2ES8V1JKEY1OU,0.8928571428571428,1
A2I5KLBJBG37X8,0.8928571428571428,1
A3O3706QP3W7Z2,0.9090909090909092,1
A1Q20SCKBRWNZ,0.9259259259259258,1
A1UZ9IZYKNDYKZ,0.9523809523809523,1
A3HTY6HNQ9VGDE,0.9523809523809524,1
A1STU1JG3XLKXB,0.9523809523809524,1
AOW61PXB5OYHB,0.9523809523809524,1
A244HA3YYYHJ7S,0.9523809523809524,2
A1YN67FOJG3XKV,0.9615384615384616,1
AXDSBC80YX2X4,0.9615384615384616,1
ALMLXNKU1SUMT,0.9803921568627451,1
A2MY2W5ZC7K8NE,0.9803921568627451,1
A12411J5S8J8PA,1.0,1
A1LR5SPHFMBPJX,1.0101010101010102,1
A2850TLJTJJ1A6,1.0416666666666665,1
A374VG4YD6RMFP,1.0526315789473684,1
AF8UBVA80LNRL,1.0526315789473684,2
A1J4LIUQJD82CF,1.0638297872340425,2
A3SD3W7SO12BE0,1.0810810810810811,2
A1YMVRW329PQBU,1.0869565217391304,1
A4UVQIPZ94FJI,1.0869565217391304,1
A2BRSIYRFENF4U,1.098901098901099,1
AY2WY7735H3RE,1.1111111111111112,1
A1XHJCJM12RKGP,1.1363636363636365,1
AIIUOIICYNHTH,1.1627906976744187,1
A1JONCODMQGO7H,1.2048192771084338,1
A16383RI0Q92II,1.2121212121212122,4
A3CD3GIXLTX3VI,1.2345679012345678,1
A1BD8E3TTSDDCD,1.2765957446808511,3
A73XCH294HVML,1.282051282051282,1
AHGO2AU4AFXSY,1.282051282051282,2
A2H33W7AHMDB26,1.282051282051282,2
A3M67BHA67S49G,1.2820512820512822,1
A39WLAM38IEBWM,1.3157894736842104,2
A1AUKB93S7D56D,1.3513513513513513,1
AHIBOVMOTDCOL,1.3888888888888886,1
A1YOYRUTSDQ0EP,1.3888888888888888,1
A2N5LJ5SHCAYD4,1.3888888888888888,1
A3E488DVY353V,1.3888888888888888,1
A2G8YDU19C3R98,1.3888888888888888,1
A1CHVCMUGFNZZI,1.4084507042253522,1
A2QOVRUSZ2RFE,1.4084507042253522,1
A15LP8QB065MI9,1.4285714285714284,1
A111312GSRTE60,1.4285714285714286,1
A9HZDJBRRJJHQ,1.4285714285714286,1
A2VQNQ2RVW2ETD,1.4492753623188406,1
A802B550VO2AU,1.4705882352941175,1
A3SX6MVHXL3ZVK,1.4705882352941175,1
AROT4NNO62GR7,1.4957264957264957,7
A3J1UD9K9G21R2,1.5151515151515151,1
A3G60XZ80UZJI2,1.5151515151515154,1
AB82ZURTQGYEQ,1.5151515151515154,1
A25A94JQUMTHZE,1.5384615384615385,1
A5ZPHCBNOTITA,1.5625,1
AKNNSGEE5KSKD,1.5625,2
A3HXPSG1QC2HPH,1.5873015873015872,1
AAW0IOL60RA1Q,1.5873015873015872,1
A3AYUWETYHT2BJ,1.5873015873015872,1
A1K0R0UJAQSFTU,1.5873015873015872,1
AB4XAFET4G6RS,1.5873015873015872,1
AT9SMMJFVZOKW,1.5873015873015872,2
AAZWBLFM328WR,1.6129032258064515,1
A3NOIWANTZD3T,1.6260162601626016,2
AXOGU6QWX12HZ,1.6260162601626018,2
A2CX8ESOH69DI0,1.6666666666666665,1
A3E3J8LBG52JM7,1.6666666666666667,1
A3ENBAW2RO91WD,1.6666666666666667,1
A19WR0OU585YWK,1.6666666666666667,1
A3PLG9S8NO8UCK,1.6666666666666667,1
AZ6BGDLL3L4UX,1.6666666666666667,1
AJGSXQNT1D8UT,1.6666666666666667,1
AQYVFNUTYEKDG,1.6666666666666667,1
A4FKO0R2CU8T6,1.6666666666666667,1
A1W16W1MV2C62F,1.6666666666666667,1
A3CR1BCQAGQ1AC,1.6666666666666667,1
AZ8PS6YMWQU01,1.6666666666666667,1
A2EOLXPGVSYTY8,1.6666666666666667,2
