reviewerID,helpful_rate_mean,helpful_pos_sum
ALSR2EB2PFJDA,100.0,498
A754P3SA07347,100.0,414
A1B1TPM94BZ1KQ,100.0,375
A29TSPINMBJMSD,100.0,300
A3VAI141JMUYG8,100.0,275
AVQWFPMRUGX6R,100.0,272
A3FY8TXHU43OII,100.0,268
A2T4M2H5TJ371I,100.0,240
A3BRG3VLSAO9Z2,100.0,235
ACPAFIY0WFQTY,100.0,228
A2OAX5AOU4J0BN,100.0,224
A7AFWQR19U85R,100.0,197
A8EASXF21Z2HH,100.0,190
AD8M54LY4G0UG,100.0,181
AOIP4YJU8O70Z,100.0,179
A3VZ0UK7GVLVNM,100.0,172
A2MP7ZVALBU0KD,100.0,167
A1HQD5MRMVJILH,100.0,158
A1DXTHL3DFPE9V,100.0,157
A2ZMNIO9CD2BOD,100.0,150
AH6HHPFWRNBU3,100.0,147
A3C4CFXT1LB2TF,100.0,146
A3IFA16UFNE98J,100.0,146
AV2LOX9VNXIK5,100.0,140
A1M7XY0I5QYKJL,100.0,131
AW33RDB2CET4O,100.0,127
A3DVW0LK2NRC6D,100.0,127
AEUMC47FX4TGX,100.0,126
AI56FNGA6VRNG,100.0,126
A35K8SNGR2VXGV,100.0,124
A36J3156351FQQ,100.0,121
A1N2PW77AC864C,100.0,117
A301Q97UROV542,100.0,117
A2PAM1G9MV3YFX,100.0,116
A2U1C1BVXWB9CM,100.0,115
A3COFTQFCJLX1Z,100.0,114
A3GFRPCQA21AA1,100.0,113
A2DEPQXYLPUEK1,100.0,111
A142MP0UTLGG9N,100.0,109
A3D61AAMF1RFZ2,100.0,108
ARDFNH1ZQ2HLJ,100.0,108
A38QBGOIYRHMGW,100.0,107
A3AA3OJDGUHGDI,100.0,107
AN8LIAITCUE2H,100.0,107
A3PTQT796TTBJ9,100.0,105
A2PT4UBXV5IPCE,100.0,105
A24V8OXDO5DR84,100.0,104
A1XLMA0UGZB59I,100.0,104
A8IJXLCKR31N7,100.0,104
A29LP78DMBDI75,100.0,104
A7EINAPNDKQL1,100.0,102
ADGZM7VKL1YUT,100.0,100
A12TGEIAWD0KRV,100.0,100
A12GUBRO883O07,100.0,99
A3IL82FWT379C,100.0,99
A1ZYIDQGFFTERW,100.0,98
A1IORYEYBD8XB7,100.0,98
A11GVCGQ9AN0SH,100.0,98
AH6MHRRFF8INZ,100.0,97
A35XFJBCDGAWJA,100.0,97
A2D1XG2GVQLZLV,100.0,95
A1FT8UYIPH7213,100.0,95
A2F90XBC42TIN9,100.0,95
AINGI3X280GSJ,100.0,94
A2AR3FJFUHWWYG,100.0,94
A3FT9OHDN66O1F,100.0,94
A3CY90HTOIGWN2,100.0,94
A1GPMDG8IX80QD,100.0,93
A3CVTT66PKR3LE,100.0,93
A1NFE7OW9DMD0O,100.0,93
A1YESZ0BEZ9O73,100.0,93
A2E9UPZD9Y3IL6,100.0,92
A11S9ZJMVU5NGR,100.0,91
AJXODR3EGSPPV,100.0,90
A3SQ2URFB8HV6X,100.0,89
A2LXYB1QS1GE2R,100.0,89
A3DT6I7HL97FYN,100.0,89
AV2P2MJL8WUM4,100.0,89
A2B1QU9EKEEUZ8,100.0,88
A2TL661UXJPNJZ,100.0,87
A1SUFU12ZUJIHA,100.0,87
ABUDSHD4D7AGD,100.0,87
A1HEF95T2SB3NY,100.0,87
A1RAFG9ZQHTLQ3,100.0,87
A10M2CONITA2CM,100.0,87
A27A0Z7X4Q8MFA,100.0,87
A302XR1GFBFVOO,100.0,86
A1BOP4A12XNVVJ,100.0,86
AIMXD9A4QUE44,100.0,86
A29S9VCG746Q5D,100.0,86
A1E7KC8UU80ZNF,100.0,85
A2LVG9WORTUFZM,100.0,85
A10ADHS7JAKGPU,100.0,84
AU630LQQV6H5V,100.0,84
A6BJYK302VAHV,100.0,84
A391H50G5630CA,100.0,84
A1C1NWYHIC0P5Q,100.0,84
AK5PL5WH90TDI,100.0,83
A2IHSH02D8T3ER,100.0,83
A3DC3I5GL1M5Y6,100.0,83
